"","orchestra_id","orchestra_name","orchestra_url","orchestra_town","orchestra_description","orchestra_category"
"1",1,"Prague Philarmonia","https://pkf.cz/","Praha",NA,"Symfonický orchestr"
"2",2,"Pražský komorní orchestr","https://pko.cz/","Praha",NA,"Symfonický orchestr"
"3",3,"Česká filharmonie","https://www.ceskafilharmonie.cz/","Praha",NA,"Symfonický orchestr"
"4",4,"Symfonický orchestr hl. města Prahy FOK","https://fok.cz/","Praha",NA,"Symfonický orchestr"
"5",5,"Filharmonie Hradec Králové","https://www.fhk.cz/","Hradec Králové",NA,"Symfonický orchestr"
"6",6,"Plzeňská filharmonie","https://www.plzenskafilharmonie.cz/","Plzeň",NA,"Symfonický orchestr"
"7",7,"Jihočeská filharmonie","https://www.jcfilharmonie.cz/","České Budějovice",NA,"Symfonický orchestr"
"8",8,"Janáčkova filharmonie Ostrava","https://www.jfo.cz/","Ostrava",NA,"Symfonický orchestr"
"9",9,"Musica Florea","https://www.musicaflorea.cz/","Praha",NA,"Symfonický orchestr"
"10",10,"Vinohradský symfonický orchestr","http://visyo.cz/WP/","Praha",NA,"Symfonický orchestr"
"11",11,"Moravská filharmonies Olomouc","https://www.mfo.cz/","Olomouc",NA,"Symfonický orchestr"
